filename,psnr,d_ssim,lpips
cam00.png,26.700817108154297,0.09325516223907471,0.22032581269741058
cam09.png,21.893688201904297,0.1818540096282959,0.2717026174068451
cam19.png,24.05178451538086,0.15752005577087402,0.2863588333129883
cam00.png,26.808622360229492,0.09212052822113037,0.2240399420261383
cam09.png,22.18097686767578,0.175767183303833,0.265897274017334
cam19.png,24.274112701416016,0.15024787187576294,0.2731669843196869
cam00.png,26.734865188598633,0.0947299599647522,0.22912436723709106
cam09.png,22.325471878051758,0.17864173650741577,0.28397637605667114
cam19.png,24.00835609436035,0.15250658988952637,0.2804581820964813
cam00.png,27.02039909362793,0.08771753311157227,0.21612387895584106
cam09.png,22.099533081054688,0.17170459032058716,0.26728036999702454
cam19.png,24.19856071472168,0.1466999053955078,0.27252495288848877
cam00.png,27.231393814086914,0.09092855453491211,0.2233898788690567
cam09.png,22.046772003173828,0.17059743404388428,0.2723497748374939
cam19.png,24.22533416748047,0.1516057252883911,0.27975985407829285
cam00.png,27.397117614746094,0.08749884366989136,0.22085918486118317
cam09.png,22.10247802734375,0.1712697148323059,0.26482531428337097
cam19.png,24.147859573364258,0.1488093137741089,0.2740669250488281
cam00.png,27.003318786621094,0.08761674165725708,0.2171395868062973
cam09.png,21.75626564025879,0.1746121644973755,0.2670131027698517
cam19.png,24.275510787963867,0.1428481936454773,0.26539790630340576
cam00.png,27.11582374572754,0.08955579996109009,0.21835452318191528
cam09.png,22.127599716186523,0.17558002471923828,0.270028680562973
cam19.png,20.64324951171875,0.17648178339004517,0.3133467733860016
cam00.png,26.67054557800293,0.09248757362365723,0.22626528143882751
cam09.png,22.230573654174805,0.17092424631118774,0.2694384753704071
cam19.png,24.32425880432129,0.14593517780303955,0.26934942603111267
cam00.png,27.403043746948242,0.08523523807525635,0.21067039668560028
cam09.png,21.823909759521484,0.17436808347702026,0.26977458596229553
cam19.png,22.18815803527832,0.15307527780532837,0.2768036425113678
*** AVERAGE ***,24.2337,0.1391,0.2567
